request_id,age,spoke_with_agent,documents_send,documents_recieved,flag,delivery_pickup,session_duration,bounce_rate,sessions,visited_partners,step_1,step_2,step_3,user_type
b777936f544bb4424117e4c7a612e583,45,1,0,0,0,pickup,19.8,0.0,5,0,5,0,0,new
51ff069c08a48b0fcabaa9761748dfb0,30,1,0,0,0,pickup,84.0,0.0,1,0,0,0,0,new
dfbd6e4863deefd34119bde730cd657f,23,1,0,0,0,pickup,84.0,0.0,1,0,0,0,0,new
81e13b169f374de498f314b3aedd0998,38,1,0,0,0,pickup,325.0,0.0,1,0,1,0,0,new
c14624d33f7e3b9191e1fea79545af3e,38,0,0,0,0,pickup,62.0,0.0,1,0,0,0,0,new
a3488db39fb10455022fe03d9753241b,22,1,0,0,0,pickup,128.0,0.0,1,0,1,0,1,old
d2b065184b9b0d795b77338c8f2ead99,31,1,0,0,0,pickup,100.0,0.0,1,0,0,0,0,new
826b308c190587862a91cbb5d7263fe6,36,1,0,0,0,pickup,106.0,0.0,1,0,0,0,0,new
efdc3f74cbb111d07660edc40150ac9a,39,1,0,0,0,not_stated,55.0,0.0,1,0,0,0,0,old
efdc3f74cbb111d07660edc40150ac9a,39,1,0,0,0,pickup,87.0,0.0,1,0,1,0,1,old
552fbb52c2bb8860ead0bf8723609c75,22,0,0,0,0,pickup,62.0,0.0,1,0,0,0,0,new
8e03459197065f63f5098426fb564eb1,28,1,0,0,0,pickup,61.5,0.0,2,0,2,0,1,new
a1f4667d43046cda3f6ed05ebc4fffcf,23,1,0,0,0,pickup,40.0,0.0,1,0,0,0,0,new
5274841166c2db05c736b8c9ce65f9e3,39,1,0,0,0,pickup,221.0,0.0,1,0,1,0,1,new
3faa0bc09532466cdcb1920c5bfbfc04,28,1,0,0,0,pickup,244.0,0.0,1,0,1,0,1,new
bfc1c20129fe43a34ffa0ffb09631b36,31,0,0,0,0,pickup,60.0,0.0,1,0,1,0,0,new
7e4e9d4a757e69332aad14f93f784190,26,1,0,0,0,pickup,268.0,0.0,1,0,1,0,1,new
